,id,tweets,label
8074,8074,Our credit taking operation on social media is more intensive than rescue operation in NepalThankUArmy,0
4207,4207,Israeli startup warned Chiles citizens of tsunami  via  Iquique April,0
3127,3127,My thoughts are with my friends  neighbors in Napa napaquake,0
5756,5756,Canine Disaster Search Teams enroute to Nepal  click for our latest update  searchdogs USAR,0
3958,3958,NEW Tsunami WARNING for Chile  Peru via  Magnitude upgraded to  hitsunami,0
6189,6189,Just got to know that some of the relief material sent from Sikkim to Nepal was taxed by Nepal customs  Why  NepalQua,0
3038,3038,Recovery efforts in Napa continue after a magnitude  earthquake caused serious damage and injuries Latest   http,1
4319,4319,See the news of the earthquake in northern Chile and know that I lived I live here Arica is horrible Thank God were good,0
64,64,Cal OES   Unveil North Coast Earthquake and Tsunami ResponsePlan in Cascadia Subduction,0
5276,5276,PrayForChile «bbcworldservice Chiles Interior Minister says  dead after earthquake Latest updates on BBCNewsday,1
4028,4028,Chile earthquake tsunami lead to evacuations kill   World  CBC News,1
1375,1375,Air Meltdown Fukushima Nuke Power Plant  Nothing serious  japan tsunami earthquake nuclear fukushima,0
5014,5014,To Our Friends In Chile Our Hearts and Prayers Are Wt You And Your Families I Grieve For Those Who Were Lost N Yeste,0
6900,6900,Over  people have died in Nepal and thats the best these guys can do Pretty reprehensible,1
2242,2242,uk tv usa news Earthquake shakes California,0
5972,5972,Techbytes Tech Giants Lend a Hand After Nepal Earthquake Disaster  ABC News  Technology,0
6716,6716,See the moment a massive earthquake hits Kathmandu  AOL Features,0
6442,6442,My report on foreign tourists turning into aid workers Trekking expeditions converted into humanitarian missions,0
2876,2876,Our thoughtsprayers for AVTweeps   in recovery from napaearthquake Pls support them and  in t,0
6043,6043,Twitter  please keep us o lord bless my family friends prayers NepaLearthquake,0
5701,5701,Huge destruction of NepalEarthquake PrayForNepal LetsHelpNepal LetsACTIndonesia via,1
975,975,Rather than pissing about with Syria why dont we do something about Pakistan   where aid is going to insurgents,0
250,250,Earthquake   km SSE of Indios Puerto Rico,0
7367,7367,All  members and exchange participants are safe after the Nepal earthquake You can donate to charities here,0
6987,6987,Death toll from Nepal quake exceeds,1
7868,7868,Big day for nepal people,0
1751,1751,Death toll in Balochistan continues  rise after earthquake Pakistan Armed forces continue relief n rescue Feel like going there myself,1
1181,1181,USGS reports a M earthquake km ENE of Pine Valley California on    UTC  quake,0
6816,6816,afriSYSit  Facebook launches Safety Check to help find Nepal earthquake survivors  IBNLive IBNLiv  afriSYS,1
1947,1947,The Napa Earthquake,0
6860,6860,Landslide fears after Nepal quakes,0
2555,2555,Fitness Trackers Quantify Sundays Northern California Earthquake Where was the shaking from Sundays earthqu,0
5100,5100,Let us individually or collectively send our thoughts prayers and Reiki to CHILE ChileEarthquake Prayers Reiki,0
4949,4949,Here we go again Tsunami warning issued for Chile  Peru following another strong  earthquake,0
5521,5521,Nepal earthquake Deathtoll rises to  NepalEarthquake prayfornepal earthquake,1
5341,5341,The most beautiful geysers in the world  chile yellowstone nz iceland,0
2194,2194,magnitude quake strikes Northern California,0
7169,7169,CHPSRE LastQuake  SA IMSahilBhalla The historic Dharhara tower in Nepal has collapsed due to the,1
2427,2427,VIDEO California shaken by earthquake  earthquake california,0
3719,3719,Chile President Michelle Bachelet evacuated from Arica coastline after  magnitude earthquake tsunami alert,1
6269,6269,Nepal earthquake Health  safety concerns top priority  The current priority for aid groups working in Nepal is,0
6428,6428,The Latest on Nepal Quake Death toll  in  countries  am  GMT  BreakingNews,1
7607,7607,You know me  I dont like giving away money But Nepal needs our help Donate to  today,0
8462,8462,She is a true Nepali,0
1026,1026,Baluchistan Gwadars quake island unlikely to last experts  Pakistan Balochistan Earthquake,0
3679,3679,Death roll rising in Chile earthquake tsunami Disaster declared,1
22,22,earthquake USGS Earthquake Alert M   km N of Hatillo Puerto Rico,0
3260,3260,yr old Kepler of Napa helping nbcbayarea photog Robert get video of earthquake anchor that saved Eye Spy office,0
624,624,Earthquake M  km W of Attu Station Alaska Wednesday September    UTCThursday Septem,0
3817,3817,CageTheElephant en Chile   LollaCL,0
6051,6051,Life is so unpredictable May Allah be wid d families who hav lost their loved s in Nepal n IndiaAllahreham Pls,0
6743,6743,Large number of Indians and locals rescued after NepalEarthquake Operation Maitri stepped up IndiaWithNepal,1
4136,4136,QUE DIA RUMBO A LA  instagood instagram instalike instalike instalove instafollow chile,0
1047,1047,breakingnews earthquake of  magnitude jolts hp himachal india news,0
4995,4995,Im at Barrios Houses,0
1518,1518,Today we launched the hashtag ReliefPK for sharing relief info for Pakistan please share response and mobilized aid hm,0
6215,6215,Plz  missing   NepalQuake help,1
2956,2956,Napa earthquake Residents many of them seniors flee from devastating mobile home fire An intense blaze burned,1
1609,1609,USGS reports a M earthquake km W of Cobb California on    UTC  quake,0
882,882,magnitude earthquake  mi from Union City CA United States,0
827,827,We may stand divided on various fronts But when it comes to a calamity Pakistan is always united earthquake Balochistan Awaran,0
2064,2064,Northern California braces for aftershocks after magnitude  earthquake  Fox News preppernews,0
603,603,USGS Breaking M  km WSW of Healy Alaska  PastHour  earthquake tsunami prayfromjapan,0
6735,6735,Napal gets first supplies of aid KATHMANDU – The first supplies of food aid began reaching remote earthquake,0
10,10,Day th and some parts of Balochistan hit by EarthQuake are YET to receive relief aid Pakistan,0
